category,total_pairs,total_kps,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
aeroplane,690,5502,35.932388,44.474736,52.362777,58.651399
bicycle,650,3866,21.495085,29.255044,35.204346,42.291774
bird,702,4348,47.608096,65.156394,74.264029,80.335787
boat,702,3386,23.922032,30.655641,38.009451,44.152392
bottle,870,6422,26.035503,36.546247,44.113983,50.949860
bus,644,4478,36.288522,42.050022,45.935686,49.129075
car,564,3592,30.540089,36.692650,41.675947,45.796214
cat,600,6198,48.612456,59.115844,67.489513,71.829622
chair,646,3652,23.822563,26.533406,29.654984,33.378970
cow,640,5358,35.554311,46.080627,54.927212,62.280702
dog,600,4802,30.091628,40.545606,49.604332,55.747605
horse,600,4704,27.614796,38.456633,47.151361,54.187925
motorbike,702,3402,20.693710,31.775426,37.419165,42.798354
person,650,4296,35.591248,51.513035,59.054935,65.921788
pottedplant,862,4516,30.004429,45.593446,53.210806,58.680248
sheep,664,3800,23.842105,34.973684,43.789474,50.894737
train,756,8660,45.092379,59.041570,68.129330,75.531178
tvmonitor,692,7346,29.403757,44.690988,55.867139,63.721753
mean,,,31.785839,42.397278,49.881359,55.904410
