model,mode,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2,total_keypoints,total_image_pairs
dinov2_vitb14,argmax,36.685988587990224,54.22516076442351,64.0261298795399,70.73747848926727,88328,12234
dinov3_vitb16,argmax,35.775744950638526,53.9149533556743,63.567611629381396,69.50344171723576,88328,12234
sam_vit_b_res512,argmax,13.149850557014764,23.241780635811974,31.024137306403404,37.75586450502672,88328,12234
