model_key,N_finetuned,mode,temperature,window_size,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2
dinov2_vitl14,4,argmax,,,58.11747124354678,72.85005887147904,78.87306403405489,82.29440268091658
dinov2_vitl14,4,softargmax,0.05,7.0,59.31414726926909,73.49424870935604,79.18213929897654,82.53668146001269
dinov3_vitb16,2,argmax,,,56.80758083506928,74.47694955167104,81.33208042749752,85.34213386468616
dinov3_vitb16,2,softargmax,0.05,7.0,59.27225794764966,76.4061226338194,82.75631736255774,86.01462729825197
sam_vit_b_res1024,2,argmax,,,33.028031881170186,44.07775563807626,51.89181233583915,58.07331763427226
sam_vit_b_res1024,2,softargmax,0.05,11.0,33.69599673942577,46.023910877637896,53.128113395525766,58.934879087039214
