model,mode,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2,total_keypoints,total_image_pairs
dinov2_vitl14,argmax,38.56647948555384,55.47957612535096,64.62050538900462,71.05221447332669,88328,12234
dinov3_vitb16,argmax,36.658817136128974,53.56738520061589,62.68906801920116,68.36903360202881,88328,12234
sam_vit_b_res1024,argmax,15.650756272076805,24.42034236029345,31.75210578751925,38.15211484466987,88328,12234
