model_key,condition,N_finetuned,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2,macro_category_PCK@0.05,macro_category_PCK@0.1,macro_category_PCK@0.15,macro_category_PCK@0.2,temperature,window_size
dinov2_vitl14,frozen_argmax,0,52.55555555555556,77.33333333333333,86.77777777777777,91.22222222222223,52.55555555555556,77.33333333333334,86.77777777777779,91.22222222222221,,
dinov2_vitl14,ft_N4_argmax,4,61.88888888888889,84.22222222222221,91.44444444444444,94.22222222222221,61.88888888888889,84.22222222222223,91.44444444444444,94.22222222222223,,
dinov2_vitl14,ft_N4_softargmax,4,62.22222222222222,85.55555555555556,91.66666666666666,94.33333333333334,62.222222222222214,85.55555555555557,91.66666666666667,94.33333333333334,0.05,7.0
dinov3_vitb16,frozen_argmax,0,62.88888888888889,85.66666666666667,93.55555555555556,96.22222222222221,62.88888888888889,85.66666666666667,93.55555555555557,96.22222222222221,,
dinov3_vitb16,ft_N2_argmax,2,66.66666666666666,87.77777777777777,94.11111111111111,96.66666666666667,66.66666666666667,87.77777777777779,94.11111111111111,96.66666666666667,,
dinov3_vitb16,ft_N2_softargmax,2,69.0,89.22222222222223,94.11111111111111,96.66666666666667,68.99999999999999,89.22222222222223,94.11111111111111,96.66666666666667,0.05,7.0
sam_vit_b_res1024,frozen_argmax,0,30.11111111111111,46.111111111111114,54.77777777777778,63.55555555555556,30.111111111111107,46.11111111111111,54.777777777777786,63.55555555555556,,
sam_vit_b_res1024,ft_N2_argmax,2,37.55555555555555,55.00000000000001,65.11111111111111,72.55555555555556,37.55555555555556,55.0,65.11111111111111,72.55555555555557,,
sam_vit_b_res1024,ft_N2_softargmax,2,38.333333333333336,55.77777777777778,65.66666666666666,73.0,38.33333333333333,55.777777777777786,65.66666666666667,73.0,0.05,11.0
