model_key,condition,N_finetuned,PCK@0.05,PCK@0.1,PCK@0.15,PCK@0.2,temperature,window_size
dinov2_vitl14,frozen_argmax,0,62.49428962996802,80.69438099588854,88.2046596619461,92.01461854728187,,
dinov2_vitl14,ft_N4_argmax,4,66.38647784376428,83.74600274097762,90.55276381909547,93.89675650982183,,
dinov2_vitl14,ft_N4_softargmax,4,66.99862951119232,84.28506167199635,90.91822750114208,94.0886249428963,0.05,7.0
dinov3_vitb16,frozen_argmax,0,66.45043398812243,86.4869803563271,93.12014618547282,96.08953860210143,,
dinov3_vitb16,ft_N2_argmax,2,70.02284148012792,85.17131110095934,90.8085883965281,93.26633165829146,,
dinov3_vitb16,ft_N2_softargmax,2,71.53037916857012,86.03928734582,91.1740520785747,93.3851073549566,0.05,7.0
sam_vit_b_res1024,frozen_argmax,0,26.13065326633166,38.92188213796254,48.487894015532206,57.09456372772955,,
sam_vit_b_res1024,ft_N2_argmax,2,35.93421653723161,48.98126998629511,58.867062585655546,66.78848789401553,,
sam_vit_b_res1024,ft_N2_softargmax,2,37.07629054362723,49.78529008679762,59.15029693924166,66.96208314298767,0.05,11.0
